periodo,fecha,cve_ent,Estado,Sigla,sexo,tipo_paciente,positivos,fallecimientos,sospechosos,merge
2020-04-13,13/04/2020,1,Aguascalientes,Ags,1,1,27,0,33,0
2020-04-13,13/04/2020,1,Aguascalientes,Ags,1,2,2,0,6,0
2020-04-13,13/04/2020,1,Aguascalientes,Ags,2,1,23,0,47,0
2020-04-13,13/04/2020,1,Aguascalientes,Ags,2,2,3,1,11,0
2020-04-13,13/04/2020,2,Baja California,BC,1,1,106,0,184,0
2020-04-13,13/04/2020,2,Baja California,BC,1,2,58,5,84,0
2020-04-13,13/04/2020,2,Baja California,BC,2,1,113,0,157,0
2020-04-13,13/04/2020,2,Baja California,BC,2,2,90,20,120,0
2020-04-13,13/04/2020,3,Baja California Sur,BCS,1,1,66,0,102,0
2020-04-13,13/04/2020,3,Baja California Sur,BCS,1,2,3,1,12,0
2020-04-13,13/04/2020,3,Baja California Sur,BCS,2,1,77,2,78,0
2020-04-13,13/04/2020,3,Baja California Sur,BCS,2,2,7,0,8,0
2020-04-13,13/04/2020,4,Campeche,Camp,1,1,5,0,13,0
2020-04-13,13/04/2020,4,Campeche,Camp,1,2,2,0,1,0
2020-04-13,13/04/2020,4,Campeche,Camp,2,1,12,0,12,0
2020-04-13,13/04/2020,4,Campeche,Camp,2,2,3,1,3,0
2020-04-13,13/04/2020,5,Coahuila,Coah,1,1,65,1,417,0
2020-04-13,13/04/2020,5,Coahuila,Coah,1,2,12,6,50,0
2020-04-13,13/04/2020,5,Coahuila,Coah,2,1,93,1,334,0
2020-04-13,13/04/2020,5,Coahuila,Coah,2,2,10,5,34,0
2020-04-13,13/04/2020,6,Colima,Col,1,1,2,0,6,0
2020-04-13,13/04/2020,6,Colima,Col,1,2,1,0,8,0
2020-04-13,13/04/2020,6,Colima,Col,2,1,3,0,7,0
2020-04-13,13/04/2020,6,Colima,Col,2,2,2,0,11,0
2020-04-13,13/04/2020,7,Chiapas,Chis,1,1,8,0,20,0
2020-04-13,13/04/2020,7,Chiapas,Chis,1,2,2,0,8,0
2020-04-13,13/04/2020,7,Chiapas,Chis,2,1,23,0,24,0
2020-04-13,13/04/2020,7,Chiapas,Chis,2,2,10,3,6,0
2020-04-13,13/04/2020,8,Chihuahua,Chih,1,1,7,0,35,0
2020-04-13,13/04/2020,8,Chihuahua,Chih,1,2,15,5,38,0
2020-04-13,13/04/2020,8,Chihuahua,Chih,2,1,9,0,27,0
