CVE,Entidad,CVE_tipo,Periodo,Tipo,metro_area,iso_3166_2_code,census_fips_code,Cambio,Sigla
0,Nacional,1,15/02/2020,Supermercados y farmacias,,,,4,
0,Nacional,1,16/02/2020,Supermercados y farmacias,,,,6,
0,Nacional,1,17/02/2020,Supermercados y farmacias,,,,4,
0,Nacional,1,18/02/2020,Supermercados y farmacias,,,,-1,
0,Nacional,1,19/02/2020,Supermercados y farmacias,,,,0,
0,Nacional,1,20/02/2020,Supermercados y farmacias,,,,-1,
0,Nacional,1,21/02/2020,Supermercados y farmacias,,,,-2,
0,Nacional,1,22/02/2020,Supermercados y farmacias,,,,0,
0,Nacional,1,23/02/2020,Supermercados y farmacias,,,,1,
0,Nacional,1,24/02/2020,Supermercados y farmacias,,,,0,
0,Nacional,1,25/02/2020,Supermercados y farmacias,,,,-2,
0,Nacional,1,26/02/2020,Supermercados y farmacias,,,,-1,
0,Nacional,1,27/02/2020,Supermercados y farmacias,,,,1,
0,Nacional,1,28/02/2020,Supermercados y farmacias,,,,6,
0,Nacional,1,29/02/2020,Supermercados y farmacias,,,,8,
0,Nacional,1,01/03/2020,Supermercados y farmacias,,,,9,
0,Nacional,1,02/03/2020,Supermercados y farmacias,,,,6,
0,Nacional,1,03/03/2020,Supermercados y farmacias,,,,3,
0,Nacional,1,04/03/2020,Supermercados y farmacias,,,,4,
0,Nacional,1,05/03/2020,Supermercados y farmacias,,,,3,
0,Nacional,1,06/03/2020,Supermercados y farmacias,,,,0,
0,Nacional,1,07/03/2020,Supermercados y farmacias,,,,2,
0,Nacional,1,08/03/2020,Supermercados y farmacias,,,,3,
0,Nacional,1,09/03/2020,Supermercados y farmacias,,,,-6,
0,Nacional,1,10/03/2020,Supermercados y farmacias,,,,0,
0,Nacional,1,11/03/2020,Supermercados y farmacias,,,,2,
0,Nacional,1,12/03/2020,Supermercados y farmacias,,,,4,
0,Nacional,1,13/03/2020,Supermercados y farmacias,,,,6,
0,Nacional,1,14/03/2020,Supermercados y farmacias,,,,10,
0,Nacional,1,15/03/2020,Supermercados y farmacias,,,,7,
0,Nacional,1,16/03/2020,Supermercados y farmacias,,,,5,
0,Nacional,1,17/03/2020,Supermercados y farmacias,,,,5,
0,Nacional,1,18/03/2020,Supermercados y farmacias,,,,3,
0,Nacional,1,19/03/2020,Supermercados y farmacias,,,,1,
0,Nacional,1,20/03/2020,Supermercados y farmacias,,,,-3,
0,Nacional,1,21/03/2020,Supermercados y farmacias,,,,-7,
0,Nacional,1,22/03/2020,Supermercados y farmacias,,,,-13,
0,Nacional,1,23/03/2020,Supermercados y farmacias,,,,-14,
0,Nacional,1,24/03/2020,Supermercados y farmacias,,,,-16,
0,Nacional,1,25/03/2020,Supermercados y farmacias,,,,-16,
0,Nacional,1,26/03/2020,Supermercados y farmacias,,,,-17,
0,Nacional,1,27/03/2020,Supermercados y farmacias,,,,-17,
0,Nacional,1,28/03/2020,Supermercados y farmacias,,,,-14,
0,Nacional,1,29/03/2020,Supermercados y farmacias,,,,-19,
0,Nacional,1,30/03/2020,Supermercados y farmacias,,,,-15,
0,Nacional,1,31/03/2020,Supermercados y farmacias,,,,-15,
0,Nacional,1,01/04/2020,Supermercados y farmacias,,,,-13,
0,Nacional,1,02/04/2020,Supermercados y farmacias,,,,-12,
