Periodo,year,month,Mes,IT_,PO_,RM_,h000,i000a,j122,m100,k100a,Entidad,orden
01/01/2010,2010,1,enero,-.02032071,.009907566,-.012124908,77.132942,72.924026,67.413216,76.468285,73.139641,Nacional,1
01/02/2010,2010,2,febrero,-.0018943581,.014739724,-.028225891,77.470322,72.864838,64.416054,77.209915,75.993874,Nacional,1
01/03/2010,2010,3,marzo,.050828908,.015955998,-.0061230725,77.792679,72.918793,69.936699,85.947617,85.011726,Nacional,1
01/04/2010,2010,4,abril,.07905031,.022905352,-.027949663,78.126938,73.188446,67.736237,84.662277,82.171318,Nacional,1
01/05/2010,2010,5,mayo,.088093773,.029018518,.013350314,78.615105,73.452896,74.702332,85.434464,81.641579,Nacional,1
01/06/2010,2010,6,junio,.048707012,.032630593,-.021988662,78.861519,74.316864,69.335136,87.405266,83.812943,Nacional,1
01/07/2010,2010,7,julio,.046591721,.035048872,-.016451988,79.160446,74.53862,72.6166,87.733414,84.531403,Nacional,1
01/08/2010,2010,8,agosto,.077251077,.033826083,.00044995864,78.860306,74.937508,68.197449,86.676949,84.703629,Nacional,1
01/09/2010,2010,9,septiembre,.069090314,.037512384,.017456582,79.078911,74.997658,68.634369,85.332558,83.219032,Nacional,1
01/10/2010,2010,10,octubre,.049247421,.038401887,-.024216838,79.418037,74.837166,69.628113,88.994873,87.758049,Nacional,1
01/11/2010,2010,11,noviembre,.077770576,.041944027,-.009624837,79.659378,74.974442,69.261719,88.770973,86.322632,Nacional,1
01/12/2010,2010,12,diciembre,.054305416,.044974037,-.00019266995,80.054031,75.210274,93.642853,89.509407,88.535751,Nacional,1
01/01/2011,2011,1,enero,.048479754,.03210526,-.013974074,79.921593,74.784187,68.268959,80.316582,75.226944,Nacional,1
01/02/2011,2011,2,febrero,.023540961,.034601472,-.0025486117,79.917786,75.921272,67.317047,79.236336,76.08316,Nacional,1
01/03/2011,2011,3,marzo,.018514963,.034398329,.0042838976,80.192268,75.965904,72.136177,87.511139,83.195419,Nacional,1
01/04/2011,2011,4,abril,-.055617515,.036157221,-.016882891,80.673164,76.505455,70.112572,80.051826,77.658012,Nacional,1
01/05/2011,2011,5,mayo,-.0018107076,.0370152,.016497213,80.274063,78.717522,78.100868,85.343048,83.005653,Nacional,1
01/06/2011,2011,6,junio,.010609198,.042336207,.039431468,80.788834,80.202583,71.783287,88.345268,87.684387,Nacional,1
01/07/2011,2011,7,julio,-.033573851,.037844673,.0060169348,80.685509,80.330498,73.544136,84.737465,85.165062,Nacional,1
01/08/2011,2011,8,agosto,.049248181,.042872295,.032954287,81.165161,80.688736,71.84481,90.841133,90.729225,Nacional,1
01/09/2011,2011,9,septiembre,.072074585,.049079079,.077075966,81.869453,81.232864,79.038513,91.452316,90.644661,Nacional,1
01/10/2011,2011,10,octubre,.03445138,.061164543,.035740629,81.97847,84.043243,74.014847,92.094681,92.499634,Nacional,1
01/11/2011,2011,11,noviembre,.060021408,.060056422,.053043243,81.989143,84.278442,75.258102,93.964363,91.596397,Nacional,1
01/12/2011,2011,12,diciembre,.096715078,.058709208,.015658833,82.026962,84.674652,98.391624,97.924149,96.04528,Nacional,1
01/01/2012,2012,1,enero,.1156947,.058923315,.033169869,81.758453,84.51152,72.670555,89.389488,87.450775,Nacional,1
01/02/2012,2012,2,febrero,.10425488,.055585727,.071494386,82.124771,84.622421,73.235909,87.383217,86.799019,Nacional,1
01/03/2012,2012,3,marzo,.058479846,.052946791,.066978708,82.252106,84.572151,77.042,92.549973,93.525612,Nacional,1
01/04/2012,2012,4,abril,.06396614,.048025671,.081726655,82.507027,84.490555,75.919403,84.957123,85.497154,Nacional,1
01/05/2012,2012,5,mayo,.11150441,.050844271,.037363127,82.818047,85.944122,82.866768,94.642487,91.625328,Nacional,1
01/06/2012,2012,6,junio,.088493198,.043712359,.02777832,83.372864,85.738632,75.921242,95.968742,92.256027,Nacional,1
01/07/2012,2012,7,julio,.10083958,.045588717,.015701231,83.067902,86.490173,76.088081,93.072411,91.557465,Nacional,1
01/08/2012,2012,8,agosto,.0497001,.040311929,.039024219,83.103004,86.231041,77.294319,95.177223,95.195137,Nacional,1
01/09/2012,2012,9,septiembre,.0081982929,.033123918,-.028202884,83.017365,86.192459,74.18544,91.906494,90.077965,Nacional,1
01/10/2012,2012,10,octubre,.06234549,.018887982,.03874483,82.539963,86.860771,75.520523,97.751541,94.545776,Nacional,1
01/11/2012,2012,11,noviembre,-.0049217334,.019725828,.051421631,82.594673,87.438492,77.421478,93.449287,91.154488,Nacional,1
01/12/2012,2012,12,diciembre,-.048657175,.018067079,.061212115,82.761055,87.052124,102.67733,93.162384,89.779541,Nacional,1
01/01/2013,2013,1,enero,-.01691935,.038352046,.037187554,85.570503,86.573517,81.853363,87.446762,84.670151,Nacional,1
01/02/2013,2013,2,febrero,-.037303008,.039329391,-.0081745507,85.923515,86.680161,77.74588,83.876495,83.536217,Nacional,1
01/03/2013,2013,3,marzo,-.050554983,.038547553,-.043331362,86.1828,86.199776,80.897995,87.641121,85.626038,Nacional,1
01/04/2013,2013,4,abril,.059826128,.045267686,-.0043328288,86.76741,86.937317,82.520287,89.782883,87.011017,Nacional,1
01/05/2013,2013,5,mayo,-.04599667,.041851334,-.069326177,87.565964,87.26535,87.382256,89.984062,88.200974,Nacional,1
01/06/2013,2013,6,junio,-.076054819,.042074129,-.016082235,87.329514,88.171936,81.64238,88.462227,85.553444,Nacional,1
01/07/2013,2013,7,julio,-.014055469,.040043343,.0013357102,87.497421,87.949783,82.932777,91.596489,87.835602,Nacional,1
01/08/2013,2013,8,agosto,-.048912082,.038482904,.0031026383,87.234489,87.7939,83.590271,90.554626,87.563637,Nacional,1
01/09/2013,2013,9,septiembre,-.048853546,.040813826,.0041901064,87.586258,88.159592,80.999016,86.955864,83.508125,Nacional,1
01/10/2013,2013,10,octubre,-.015958423,.043030396,-.0070946808,87.486557,88.526833,82.384949,95.884476,90.719154,Nacional,1
01/11/2013,2013,11,noviembre,.00099385809,.042807173,-.015918884,87.321503,89.236855,82.016884,93.370438,87.397415,Nacional,1
01/12/2013,2013,12,diciembre,.024032088,.041842949,-.060159858,87.147507,89.206818,107.41154,95.077179,92.220177,Nacional,1
01/01/2014,2014,1,enero,.026810076,.02082045,-.018941665,89.219154,86.633461,84.93071,90.012779,85.374886,Nacional,1
01/02/2014,2014,2,febrero,.027995102,.021138508,-.00076188392,89.670113,86.80426,80.136581,86.250435,83.750198,Nacional,1
01/03/2014,2014,3,marzo,.045106161,.022971397,-.0011304263,89.81427,87.062737,82.848976,91.563736,88.827057,Nacional,1
01/04/2014,2014,4,abril,.0085451612,.02332009,-.0015528623,90.173195,88.203407,84.001541,90.760605,87.192421,Nacional,1
01/05/2014,2014,5,mayo,.040613253,.022161456,.018511392,90.855721,88.314644,87.254143,93.836647,92.055664,Nacional,1
01/06/2014,2014,6,junio,.045392185,.016004724,-.00020476877,90.582344,88.342506,81.86367,92.510551,89.54776,Nacional,1
01/07/2014,2014,7,julio,.045623921,.016780064,.011978941,90.949638,87.882484,85.265572,95.678726,91.569794,Nacional,1
01/08/2014,2014,8,agosto,.030695608,.020313684,-.024733463,91.052353,88.067039,83.142639,93.096977,88.515289,Nacional,1
