yearm,anio,mes,month,codigo_actividad,descripcion_actividad,codigo_entidad,entidad,sector_publico,sector_privado,unidad_medida,estatus
01/01/2006,2006,1,enero,23,Construcción,14,Jalisco,679687.425018,1871412.264076,Miles de pesos constantes,Cifras definitivas
01/02/2006,2006,2,febrero,23,Construcción,14,Jalisco,709157.038517,1571444.899543,Miles de pesos constantes,Cifras definitivas
01/03/2006,2006,3,marzo,23,Construcción,14,Jalisco,664594.588154,1433500.893555,Miles de pesos constantes,Cifras definitivas
01/04/2006,2006,4,abril,23,Construcción,14,Jalisco,509780.446335,1245657.729046,Miles de pesos constantes,Cifras definitivas
01/05/2006,2006,5,mayo,23,Construcción,14,Jalisco,554924.830101,1721462.513107,Miles de pesos constantes,Cifras definitivas
01/06/2006,2006,6,junio,23,Construcción,14,Jalisco,528351.716276,1717989.399253,Miles de pesos constantes,Cifras definitivas
01/07/2006,2006,7,julio,23,Construcción,14,Jalisco,468065.40249,1692246.273012,Miles de pesos constantes,Cifras definitivas
01/08/2006,2006,8,agosto,23,Construcción,14,Jalisco,629618.8941189999,1423074.149687,Miles de pesos constantes,Cifras definitivas
01/09/2006,2006,9,septiembre,23,Construcción,14,Jalisco,535947.324598,2175077.180819,Miles de pesos constantes,Cifras definitivas
01/10/2006,2006,10,octubre,23,Construcción,14,Jalisco,630231.036491,2099863.735993,Miles de pesos constantes,Cifras definitivas
01/11/2006,2006,11,noviembre,23,Construcción,14,Jalisco,645906.465967,2376722.822536,Miles de pesos constantes,Cifras definitivas
01/12/2006,2006,12,diciembre,23,Construcción,14,Jalisco,1134085.297334,2479714.598259,Miles de pesos constantes,Cifras definitivas
01/01/2007,2007,1,enero,23,Construcción,14,Jalisco,760743.107282,1546440.686949,Miles de pesos constantes,Cifras definitivas
01/02/2007,2007,2,febrero,23,Construcción,14,Jalisco,772151.028975,2014069.059656,Miles de pesos constantes,Cifras definitivas
01/03/2007,2007,3,marzo,23,Construcción,14,Jalisco,361950.080061,1686693.763684,Miles de pesos constantes,Cifras definitivas
01/04/2007,2007,4,abril,23,Construcción,14,Jalisco,285199.601413,1771304.2077,Miles de pesos constantes,Cifras definitivas
01/05/2007,2007,5,mayo,23,Construcción,14,Jalisco,369328.420683,2158415.72026,Miles de pesos constantes,Cifras definitivas
01/06/2007,2007,6,junio,23,Construcción,14,Jalisco,359361.14999,1898176.45805,Miles de pesos constantes,Cifras definitivas
01/07/2007,2007,7,julio,23,Construcción,14,Jalisco,280927.491851,2245627.975117,Miles de pesos constantes,Cifras definitivas
01/08/2007,2007,8,agosto,23,Construcción,14,Jalisco,221159.906976,2267174.917379,Miles de pesos constantes,Cifras definitivas
01/09/2007,2007,9,septiembre,23,Construcción,14,Jalisco,331054.679606,2477531.457703,Miles de pesos constantes,Cifras definitivas
01/10/2007,2007,10,octubre,23,Construcción,14,Jalisco,345043.255606,2740868.389713,Miles de pesos constantes,Cifras definitivas
01/11/2007,2007,11,noviembre,23,Construcción,14,Jalisco,393595.760786,2502125.857565,Miles de pesos constantes,Cifras definitivas
01/12/2007,2007,12,diciembre,23,Construcción,14,Jalisco,820584.285757,3405879.604717,Miles de pesos constantes,Cifras definitivas
01/01/2008,2008,1,enero,23,Construcción,14,Jalisco,566097.807196,2188655.56418,Miles de pesos constantes,Cifras definitivas
01/02/2008,2008,2,febrero,23,Construcción,14,Jalisco,827583.5898899999,2468643.487755,Miles de pesos constantes,Cifras definitivas
01/03/2008,2008,3,marzo,23,Construcción,14,Jalisco,663885.560595,1806775.113342,Miles de pesos constantes,Cifras definitivas
01/04/2008,2008,4,abril,23,Construcción,14,Jalisco,847574.094682,1929503.883363,Miles de pesos constantes,Cifras definitivas
01/05/2008,2008,5,mayo,23,Construcción,14,Jalisco,687462.711734,1921528.154053,Miles de pesos constantes,Cifras definitivas
01/06/2008,2008,6,junio,23,Construcción,14,Jalisco,691183.858592,1921094.565903,Miles de pesos constantes,Cifras definitivas
01/07/2008,2008,7,julio,23,Construcción,14,Jalisco,795335.618026,2023805.643052,Miles de pesos constantes,Cifras definitivas
01/08/2008,2008,8,agosto,23,Construcción,14,Jalisco,742710.5061070001,1812693.410905,Miles de pesos constantes,Cifras definitivas
01/09/2008,2008,9,septiembre,23,Construcción,14,Jalisco,867614.417237,1672422.879523,Miles de pesos constantes,Cifras definitivas
01/10/2008,2008,10,octubre,23,Construcción,14,Jalisco,856053.6367799999,1760858.556324,Miles de pesos constantes,Cifras definitivas
01/11/2008,2008,11,noviembre,23,Construcción,14,Jalisco,857520.149433,1478038.513391,Miles de pesos constantes,Cifras definitivas
01/12/2008,2008,12,diciembre,23,Construcción,14,Jalisco,1187715.885961,1739579.030367,Miles de pesos constantes,Cifras definitivas
01/01/2009,2009,1,enero,23,Construcción,14,Jalisco,815894.440881,1122362.597009,Miles de pesos constantes,Cifras definitivas
01/02/2009,2009,2,febrero,23,Construcción,14,Jalisco,912708.120369,1273102.100934,Miles de pesos constantes,Cifras definitivas
01/03/2009,2009,3,marzo,23,Construcción,14,Jalisco,1123294.578149,1230755.995543,Miles de pesos constantes,Cifras definitivas
01/04/2009,2009,4,abril,23,Construcción,14,Jalisco,878626.779971,1172654.591254,Miles de pesos constantes,Cifras definitivas
01/05/2009,2009,5,mayo,23,Construcción,14,Jalisco,1000691.977572,1144632.761345,Miles de pesos constantes,Cifras definitivas
01/06/2009,2009,6,junio,23,Construcción,14,Jalisco,724645.485053,859617.813904,Miles de pesos constantes,Cifras definitivas
01/07/2009,2009,7,julio,23,Construcción,14,Jalisco,837194.638835,1193236.778521,Miles de pesos constantes,Cifras definitivas
01/08/2009,2009,8,agosto,23,Construcción,14,Jalisco,724251.445462,1188561.916659,Miles de pesos constantes,Cifras definitivas
01/09/2009,2009,9,septiembre,23,Construcción,14,Jalisco,760404.89665,1395681.888828,Miles de pesos constantes,Cifras definitivas
01/10/2009,2009,10,octubre,23,Construcción,14,Jalisco,885555.074637,1345000.880523,Miles de pesos constantes,Cifras definitivas
01/11/2009,2009,11,noviembre,23,Construcción,14,Jalisco,832228.094886,1153982.444911,Miles de pesos constantes,Cifras definitivas
01/12/2009,2009,12,diciembre,23,Construcción,14,Jalisco,840331.35147,1288470.043879,Miles de pesos constantes,Cifras definitivas
01/01/2010,2010,1,enero,23,Construcción,14,Jalisco,1041515.627657,1349585.219619,Miles de pesos constantes,Cifras definitivas
01/02/2010,2010,2,febrero,23,Construcción,14,Jalisco,907487.913529,1205683.698707,Miles de pesos constantes,Cifras definitivas
01/03/2010,2010,3,marzo,23,Construcción,14,Jalisco,932671.363498,1149834.952565,Miles de pesos constantes,Cifras definitivas
01/04/2010,2010,4,abril,23,Construcción,14,Jalisco,1005709.429993,1189259.482745,Miles de pesos constantes,Cifras definitivas
01/05/2010,2010,5,mayo,23,Construcción,14,Jalisco,1039531.139315,1152905.630136,Miles de pesos constantes,Cifras definitivas
01/06/2010,2010,6,junio,23,Construcción,14,Jalisco,1036469.719121,1217977.020431,Miles de pesos constantes,Cifras definitivas
01/07/2010,2010,7,julio,23,Construcción,14,Jalisco,840976.685684,1124330.121317,Miles de pesos constantes,Cifras definitivas
01/08/2010,2010,8,agosto,23,Construcción,14,Jalisco,947302.526471,1244119.39922,Miles de pesos constantes,Cifras definitivas
01/09/2010,2010,9,septiembre,23,Construcción,14,Jalisco,1036913.608321,1528539.647509,Miles de pesos constantes,Cifras definitivas
01/10/2010,2010,10,octubre,23,Construcción,14,Jalisco,983475.104692,1291198.375991,Miles de pesos constantes,Cifras definitivas
01/11/2010,2010,11,noviembre,23,Construcción,14,Jalisco,1125864.258158,1370536.727975,Miles de pesos constantes,Cifras definitivas
01/12/2010,2010,12,diciembre,23,Construcción,14,Jalisco,1115742.715202,1328117.690441,Miles de pesos constantes,Cifras definitivas
01/01/2011,2011,1,enero,23,Construcción,14,Jalisco,1352005.403182,917016.288693,Miles de pesos constantes,Cifras definitivas
01/02/2011,2011,2,febrero,23,Construcción,14,Jalisco,1334054.566364,1324662.471434,Miles de pesos constantes,Cifras definitivas
01/03/2011,2011,3,marzo,23,Construcción,14,Jalisco,1067492.6116,1117062.364815,Miles de pesos constantes,Cifras definitivas
01/04/2011,2011,4,abril,23,Construcción,14,Jalisco,1348757.436684,1101805.217307,Miles de pesos constantes,Cifras definitivas
01/05/2011,2011,5,mayo,23,Construcción,14,Jalisco,1062623.458379,1396828.274577,Miles de pesos constantes,Cifras definitivas
01/06/2011,2011,6,junio,23,Construcción,14,Jalisco,1280021.252733,1294975.547178,Miles de pesos constantes,Cifras definitivas
01/07/2011,2011,7,julio,23,Construcción,14,Jalisco,1267966.719823,1503988.806116,Miles de pesos constantes,Cifras definitivas
01/08/2011,2011,8,agosto,23,Construcción,14,Jalisco,1218840.980969,1271585.665463,Miles de pesos constantes,Cifras definitivas
01/09/2011,2011,9,septiembre,23,Construcción,14,Jalisco,1281885.07104,1448295.963091,Miles de pesos constantes,Cifras definitivas
01/10/2011,2011,10,octubre,23,Construcción,14,Jalisco,1237214.045968,1384811.021215,Miles de pesos constantes,Cifras definitivas
01/11/2011,2011,11,noviembre,23,Construcción,14,Jalisco,1265927.220092,1568792.152167,Miles de pesos constantes,Cifras definitivas
01/12/2011,2011,12,diciembre,23,Construcción,14,Jalisco,904367.603164,1642538.622824,Miles de pesos constantes,Cifras definitivas
01/01/2012,2012,1,enero,23,Construcción,14,Jalisco,850742.464636,1298665.725541,Miles de pesos constantes,Cifras definitivas
01/02/2012,2012,2,febrero,23,Construcción,14,Jalisco,917061.16235,1247032.513651,Miles de pesos constantes,Cifras definitivas
01/03/2012,2012,3,marzo,23,Construcción,14,Jalisco,869923.390873,1132448.305352,Miles de pesos constantes,Cifras definitivas
01/04/2012,2012,4,abril,23,Construcción,14,Jalisco,828917.53202,997994.198343,Miles de pesos constantes,Cifras definitivas
01/05/2012,2012,5,mayo,23,Construcción,14,Jalisco,1062317.137312,1663160.7957,Miles de pesos constantes,Cifras definitivas
01/06/2012,2012,6,junio,23,Construcción,14,Jalisco,1035627.894653,1624807.102217,Miles de pesos constantes,Cifras definitivas
01/07/2012,2012,7,julio,23,Construcción,14,Jalisco,1122984.8941,2047325.468393,Miles de pesos constantes,Cifras definitivas
01/08/2012,2012,8,agosto,23,Construcción,14,Jalisco,904851.317918,2256697.702153,Miles de pesos constantes,Cifras definitivas
01/09/2012,2012,9,septiembre,23,Construcción,14,Jalisco,990257.722604,1632329.171691,Miles de pesos constantes,Cifras definitivas
01/10/2012,2012,10,octubre,23,Construcción,14,Jalisco,905665.206791,1701937.676587,Miles de pesos constantes,Cifras definitivas
01/11/2012,2012,11,noviembre,23,Construcción,14,Jalisco,964444.652569,1822821.093336,Miles de pesos constantes,Cifras definitivas
01/12/2012,2012,12,diciembre,23,Construcción,14,Jalisco,985131.541985,1721369.869592,Miles de pesos constantes,Cifras definitivas
01/01/2013,2013,1,enero,23,Construcción,14,Jalisco,627426.500134,1267062.502559,Miles de pesos constantes,Cifras definitivas
01/02/2013,2013,2,febrero,23,Construcción,14,Jalisco,963242.616995,1321985.225013,Miles de pesos constantes,Cifras definitivas
01/03/2013,2013,3,marzo,23,Construcción,14,Jalisco,499642.194818,1452107.258317,Miles de pesos constantes,Cifras definitivas
01/04/2013,2013,4,abril,23,Construcción,14,Jalisco,494871.58765,1680609.683636,Miles de pesos constantes,Cifras definitivas
01/05/2013,2013,5,mayo,23,Construcción,14,Jalisco,490254.412007,1545449.72667,Miles de pesos constantes,Cifras definitivas
01/06/2013,2013,6,junio,23,Construcción,14,Jalisco,641622.094148,1606717.584283,Miles de pesos constantes,Cifras definitivas
01/07/2013,2013,7,julio,23,Construcción,14,Jalisco,809876.253627,1538797.492263,Miles de pesos constantes,Cifras definitivas
01/08/2013,2013,8,agosto,23,Construcción,14,Jalisco,686104.149374,2052335.643707,Miles de pesos constantes,Cifras definitivas
01/09/2013,2013,9,septiembre,23,Construcción,14,Jalisco,686969.029396,1804633.595077,Miles de pesos constantes,Cifras definitivas
01/10/2013,2013,10,octubre,23,Construcción,14,Jalisco,548673.960691,1819569.192919,Miles de pesos constantes,Cifras definitivas
01/11/2013,2013,11,noviembre,23,Construcción,14,Jalisco,510187.975724,1974832.225958,Miles de pesos constantes,Cifras definitivas
01/12/2013,2013,12,diciembre,23,Construcción,14,Jalisco,597912.421784,1809448.798945,Miles de pesos constantes,Cifras definitivas
01/01/2014,2014,1,enero,23,Construcción,14,Jalisco,348600.64961,1225412.636247,Miles de pesos constantes,Cifras definitivas
01/02/2014,2014,2,febrero,23,Construcción,14,Jalisco,508300.662495,1171047.126,Miles de pesos constantes,Cifras definitivas
01/03/2014,2014,3,marzo,23,Construcción,14,Jalisco,357377.841007,1292271.310688,Miles de pesos constantes,Cifras definitivas
01/04/2014,2014,4,abril,23,Construcción,14,Jalisco,361258.117088,1248848.893324,Miles de pesos constantes,Cifras definitivas
01/05/2014,2014,5,mayo,23,Construcción,14,Jalisco,503530.11234,1480328.400817,Miles de pesos constantes,Cifras definitivas
01/06/2014,2014,6,junio,23,Construcción,14,Jalisco,657079.38909,1320673.274791,Miles de pesos constantes,Cifras definitivas
01/07/2014,2014,7,julio,23,Construcción,14,Jalisco,447575.542573,1242247.134825,Miles de pesos constantes,Cifras definitivas
01/08/2014,2014,8,agosto,23,Construcción,14,Jalisco,572807.122579,1437314.1704,Miles de pesos constantes,Cifras definitivas
01/09/2014,2014,9,septiembre,23,Construcción,14,Jalisco,622503.433393,1380570.458457,Miles de pesos constantes,Cifras definitivas
01/10/2014,2014,10,octubre,23,Construcción,14,Jalisco,634173.001672,1294646.61085,Miles de pesos constantes,Cifras definitivas
01/11/2014,2014,11,noviembre,23,Construcción,14,Jalisco,706139.938591,1235967.481242,Miles de pesos constantes,Cifras definitivas
01/12/2014,2014,12,diciembre,23,Construcción,14,Jalisco,704354.3626859999,1617297.92309,Miles de pesos constantes,Cifras definitivas
01/01/2015,2015,1,enero,23,Construcción,14,Jalisco,833597.153585,1375877.575344,Miles de pesos constantes,Cifras definitivas
01/02/2015,2015,2,febrero,23,Construcción,14,Jalisco,556939.101501,1311322.073942,Miles de pesos constantes,Cifras definitivas
01/03/2015,2015,3,marzo,23,Construcción,14,Jalisco,574025.7948189999,2092465.538076,Miles de pesos constantes,Cifras definitivas
01/04/2015,2015,4,abril,23,Construcción,14,Jalisco,695044.199645,1635080.57443,Miles de pesos constantes,Cifras definitivas
01/05/2015,2015,5,mayo,23,Construcción,14,Jalisco,703315.1481850001,1912536.487618,Miles de pesos constantes,Cifras definitivas
01/06/2015,2015,6,junio,23,Construcción,14,Jalisco,617688.466477,1700084.923876,Miles de pesos constantes,Cifras definitivas
01/07/2015,2015,7,julio,23,Construcción,14,Jalisco,561795.272184,1559611.854195,Miles de pesos constantes,Cifras definitivas
01/08/2015,2015,8,agosto,23,Construcción,14,Jalisco,717996.5459340001,2193166.862603,Miles de pesos constantes,Cifras definitivas
01/09/2015,2015,9,septiembre,23,Construcción,14,Jalisco,657924.60858,2415539.67855,Miles de pesos constantes,Cifras definitivas
01/10/2015,2015,10,octubre,23,Construcción,14,Jalisco,728894.871056,1760737.613235,Miles de pesos constantes,Cifras definitivas
01/11/2015,2015,11,noviembre,23,Construcción,14,Jalisco,567715.4101710001,1634113.635095,Miles de pesos constantes,Cifras definitivas
01/12/2015,2015,12,diciembre,23,Construcción,14,Jalisco,495070.335416,1536939.333997,Miles de pesos constantes,Cifras definitivas
01/01/2016,2016,1,enero,23,Construcción,14,Jalisco,390377.349438,2192052.990023,Miles de pesos constantes,Cifras definitivas
01/02/2016,2016,2,febrero,23,Construcción,14,Jalisco,497145.221178,2185870.169886,Miles de pesos constantes,Cifras definitivas
01/03/2016,2016,3,marzo,23,Construcción,14,Jalisco,473251.956462,1446239.362087,Miles de pesos constantes,Cifras definitivas
01/04/2016,2016,4,abril,23,Construcción,14,Jalisco,621276.678172,1619063.114084,Miles de pesos constantes,Cifras definitivas
01/05/2016,2016,5,mayo,23,Construcción,14,Jalisco,565635.389362,1619883.051184,Miles de pesos constantes,Cifras definitivas
01/06/2016,2016,6,junio,23,Construcción,14,Jalisco,505772.344938,1640968.568865,Miles de pesos constantes,Cifras definitivas
01/07/2016,2016,7,julio,23,Construcción,14,Jalisco,515814.839492,1568827.050381,Miles de pesos constantes,Cifras definitivas
01/08/2016,2016,8,agosto,23,Construcción,14,Jalisco,572235.091056,1923064.581673,Miles de pesos constantes,Cifras definitivas
01/09/2016,2016,9,septiembre,23,Construcción,14,Jalisco,599494.255656,1657707.721604,Miles de pesos constantes,Cifras definitivas
01/10/2016,2016,10,octubre,23,Construcción,14,Jalisco,705715.8888280001,1693147.9347,Miles de pesos constantes,Cifras definitivas
01/11/2016,2016,11,noviembre,23,Construcción,14,Jalisco,663152.854981,1861744.478811,Miles de pesos constantes,Cifras definitivas
01/12/2016,2016,12,diciembre,23,Construcción,14,Jalisco,514994.203269,1769365.822204,Miles de pesos constantes,Cifras definitivas
01/01/2017,2017,1,enero,23,Construcción,14,Jalisco,510724.277281,1422779.809312,Miles de pesos constantes,Cifras definitivas
