yearm,anio,mes,month,codigo_actividad,descripcion_actividad,codigo_entidad,entidad,g210,personal_ocupado_total,h171a_y_h200a_y_h300a,h171a,h200a,h300a,i100a,tot_hr_pot,h171d_y_h200d_y_h300d,h171d,h200d,h300d,i100d,j000a,j117a,j200a,j300a_j400a_j500a,rem_med_porem,rem_med_hora_trab,j117a_j200a_h171a_h200a,j117a_h171a,j200a_h200a,k000a,k321a,k322a,k610a,k720a,k999a,k321b,k322b,m000a,m321a,m322a,m323a,m999a,vp_total_entidad,edificacion,agua_riego_y_saneamiento,electricidad_y_telecomun,transporte_y_urbanizacion,petroleo_y_petroquimica,otras_construcciones,sector_contratante,sector_publico,sector_privado,estatus,vp_total_entidad_1
01/01/2018,2018,1,enero,23,Construcción,14,Jalisco,20.81858367,58094,52925,41943,10238,744,5169,11512.163,10447.987,8336.936,2004.488,106.563,1064.176,422690,263488,129252,29950,8100.45802112,40.87348125,7526.49431786,6282.04944806,12624.73139285,2766805,1757934,164523,27530,552561,264257,756426,37510,1920893,1355153,125828,11784,428128,2101240,1381218,82914,66463,360016,655,209974,2101240,437201,1664039,Cifras definitivas,
01/02/2018,2018,2,febrero,23,Construcción,14,Jalisco,20.75067298,56308,51207,40420,10043,744,5101,10902.421,9948.222,7901.267,1946.564,100.391,954.199,430741,256444,126192,48105,8535.778689340001,43.73968237,7582.50599449,6344.48292924,12565.16976999,2600911,1669644,169491,29386,498447,233943,705036,40611,3390134,2274110,131292,22160,962572,2104911,1258624,140868,60923,397083,1063,246350,2104911,538966,1565945,Cifras definitivas,
01/03/2018,2018,3,marzo,23,Construcción,14,Jalisco,20.80786277,56156,51122,40384,10000,738,5034,11679.466,10647.351,8590.754000000001,1954.738,101.859,1032.115,491904,272553,139577,79774,9763.099396629999,46.64590329,8179.77929501,6749.034271,13957.7,2857428,1759602,166428,28930,644468,258000,724731,43745,3518862,2400551,134567,22160,961584,2535623,1543321,190081,176271,351430,1104,273416,2535623,635721,1899902,Cifras definitivas,
01/04/2018,2018,4,abril,23,Construcción,14,Jalisco,20.82926885,55686,50725,40083,9904,738,4961,11032.907,9956.048000000001,7920.626,1935.137,100.285,1076.859,496351,289879,144759,61713,9929.601696440001,50.36149916,8695.02070538,7231.96866502,14616.21567044,2848751,1836715,168221,30654,551446,261715,705211,40964,3542235,2419342,143633,22160,957100,2257219,1418009,41375,139467,300672,998,356698,2257219,511559,1745660,Cifras definitivas,
01/05/2018,2018,5,mayo,23,Construcción,14,Jalisco,20.90334157,55797,50834,40173,9923,738,4963,11077.216,10049.48,8000.628,1945.464,103.388,1027.736,518143,276183,147556,94404,10343.00143724,52.09513445,8458.53960396,6874.84131133,14870.09976822,2803273,1843898,168280,30420,498376,262299,758562,41009,3588964,2472279,137353,22160,957172,2692517,1665919,61791,121511,359221,1166,482909,2692517,508899,2183618,Cifras definitivas,
01/06/2018,2018,6,junio,23,Construcción,14,Jalisco,20.90459885,55863,50901,40168,9995,738,4962,11072.61,10057.424,7994.087,1962.666,100.671,1015.186,530751,285135,141432,104184,10580.52748041,53.30563086,8503.61820465,7098.56104362,14150.27513757,2844659,1811724,198108,39564,539856,255407,746841,61480,4025331,2892341,145885,22160,964945,2392367,1529629,77905,94257,396109,1088,293379,2392367,613328,1779039,Cifras definitivas,
01/07/2018,2018,7,julio,23,Construcción,14,Jalisco,20.92182503,55428,50457,39672,10047,738,4971,11052.587,10028.801,7951.98,1973.537,103.284,1023.786,524991,283519,148698,92774,10559.16249321,52.8930634,8693.19576017,7146.57693083,14800.23887728,3060339,1912736,203968,38462,564655,340518,832713,77328,3936624,2612353,147085,22160,1155026,2696517,1832827,89070,100236,399528,1682,273174,2696517,582652,2113865,Cifras definitivas,
01/08/2018,2018,8,agosto,23,Construcción,14,Jalisco,20.95481973,55179,50171,39402,10031,738,5008,11051.84,10024.188,7947.651,1970.519,106.018,1027.652,500599,272838,146190,81571,10126.81811745,50.4729199,8476.685614870001,6924.47083904,14573.82115442,3082010,1856063,203260,36102,672465,314120,819436,77596,4017650,2805477,151200,22160,1038813,3072478,2214326,106169,68008,449928,1125,232922,3072478,573187,2499291,Cifras definitivas,
01/09/2018,2018,9,septiembre,23,Construcción,14,Jalisco,20.81413129,54325,49363,38803,9822,738,4962,10738.347,9722.516,7693.285,1921.713,107.518,1015.831,505756,276214,143980,85562,10401.15167095,52.60073897,8641.521850900001,7118.36713656,14658.92893504,3104108,1797502,215927,33926,762426,294327,782566,84510,3588214,2464986,139372,22160,961696,2421955,1677008,122122,63690,308558,1183,249394,2421955,424749,1997206,Cifras definitivas,
01/10/2018,2018,10,octubre,23,Construcción,14,Jalisco,20.95217423,54354,49357,38894,9725,738,4997,10847.087,9823.446,7795.282,1914.39,113.774,1023.641,485448,269367,136337,79744,9984.738476729999,49.99633355,8344.55665481,6925.66976912,14019.22879177,3032276,1783694,209457,31783,711102,296240,844142,85572,3743967,2642540,145695,22160,933572,3276808,2313916,140345,70249,481608,1395,269295,3276808,624362,2652446,Cifras definitivas,
01/11/2018,2018,11,noviembre,23,Construcción,14,Jalisco,20.82060946,53571,48645,38260,9647,738,4926,10621.529,9614.476000000001,7615.667,1887.694,111.115,1007.053,545855,284040,148505,113310,11394.05514852,57.43810006,9028.847558809999,7423.94145321,15393.90484088,3239192,1892254,196507,29539,825851,295041,925902,70350,3906180,2630812,136744,22160,1116464,2552104,1593477,130238,58674,513865,1046,254804,2552104,616310,1935794,Cifras definitivas,
