yearm,CVE_construccion,anio,mes,month,codigo_actividad,descripcion_actividad,codigo_entidad,entidad,vp_total_entidad,unidad_medida,estatus,Tipo,vp_total_entidad_1
01/01/2006,1,2006,1,enero,23,Construcción,14,Jalisco,1540012.629556,Miles de pesos constantes,Cifras definitivas,Edificación,
01/02/2006,1,2006,2,febrero,23,Construcción,14,Jalisco,1254392.626566,Miles de pesos constantes,Cifras definitivas,Edificación,
01/03/2006,1,2006,3,marzo,23,Construcción,14,Jalisco,1090956.620911,Miles de pesos constantes,Cifras definitivas,Edificación,
01/04/2006,1,2006,4,abril,23,Construcción,14,Jalisco,1017407.39175,Miles de pesos constantes,Cifras definitivas,Edificación,
01/05/2006,1,2006,5,mayo,23,Construcción,14,Jalisco,1374330.136241,Miles de pesos constantes,Cifras definitivas,Edificación,
01/06/2006,1,2006,6,junio,23,Construcción,14,Jalisco,1254659.361577,Miles de pesos constantes,Cifras definitivas,Edificación,
01/07/2006,1,2006,7,julio,23,Construcción,14,Jalisco,1399769.051331,Miles de pesos constantes,Cifras definitivas,Edificación,
01/08/2006,1,2006,8,agosto,23,Construcción,14,Jalisco,1342018.455308,Miles de pesos constantes,Cifras definitivas,Edificación,
01/09/2006,1,2006,9,septiembre,23,Construcción,14,Jalisco,1827381.911383,Miles de pesos constantes,Cifras definitivas,Edificación,
01/10/2006,1,2006,10,octubre,23,Construcción,14,Jalisco,1670880.265288,Miles de pesos constantes,Cifras definitivas,Edificación,
01/11/2006,1,2006,11,noviembre,23,Construcción,14,Jalisco,1927159.962207,Miles de pesos constantes,Cifras definitivas,Edificación,
01/12/2006,1,2006,12,diciembre,23,Construcción,14,Jalisco,2001777.435427,Miles de pesos constantes,Cifras definitivas,Edificación,
01/01/2007,1,2007,1,enero,23,Construcción,14,Jalisco,1096377.566736,Miles de pesos constantes,Cifras definitivas,Edificación,1540012.629556
01/02/2007,1,2007,2,febrero,23,Construcción,14,Jalisco,1553551.99546,Miles de pesos constantes,Cifras definitivas,Edificación,1254392.626566
01/03/2007,1,2007,3,marzo,23,Construcción,14,Jalisco,1281085.770032,Miles de pesos constantes,Cifras definitivas,Edificación,1090956.620911
01/04/2007,1,2007,4,abril,23,Construcción,14,Jalisco,1345659.078871,Miles de pesos constantes,Cifras definitivas,Edificación,1017407.39175
01/05/2007,1,2007,5,mayo,23,Construcción,14,Jalisco,1594942.902992,Miles de pesos constantes,Cifras definitivas,Edificación,1374330.136241
01/06/2007,1,2007,6,junio,23,Construcción,14,Jalisco,1518893.310682,Miles de pesos constantes,Cifras definitivas,Edificación,1254659.361577
01/07/2007,1,2007,7,julio,23,Construcción,14,Jalisco,1731058.679775,Miles de pesos constantes,Cifras definitivas,Edificación,1399769.051331
01/08/2007,1,2007,8,agosto,23,Construcción,14,Jalisco,1682603.215544,Miles de pesos constantes,Cifras definitivas,Edificación,1342018.455308
01/09/2007,1,2007,9,septiembre,23,Construcción,14,Jalisco,1904208.347204,Miles de pesos constantes,Cifras definitivas,Edificación,1827381.911383
01/10/2007,1,2007,10,octubre,23,Construcción,14,Jalisco,2156068.248827,Miles de pesos constantes,Cifras definitivas,Edificación,1670880.265288
01/11/2007,1,2007,11,noviembre,23,Construcción,14,Jalisco,1991548.996307,Miles de pesos constantes,Cifras definitivas,Edificación,1927159.962207
01/12/2007,1,2007,12,diciembre,23,Construcción,14,Jalisco,3064703.758937,Miles de pesos constantes,Cifras definitivas,Edificación,2001777.435427
01/01/2008,1,2008,1,enero,23,Construcción,14,Jalisco,1758621.479409,Miles de pesos constantes,Cifras definitivas,Edificación,1096377.566736
01/02/2008,1,2008,2,febrero,23,Construcción,14,Jalisco,2015722.206549,Miles de pesos constantes,Cifras definitivas,Edificación,1553551.99546
01/03/2008,1,2008,3,marzo,23,Construcción,14,Jalisco,1512852.848377,Miles de pesos constantes,Cifras definitivas,Edificación,1281085.770032
01/04/2008,1,2008,4,abril,23,Construcción,14,Jalisco,1631431.470143,Miles de pesos constantes,Cifras definitivas,Edificación,1345659.078871
01/05/2008,1,2008,5,mayo,23,Construcción,14,Jalisco,1564599.516422,Miles de pesos constantes,Cifras definitivas,Edificación,1594942.902992
01/06/2008,1,2008,6,junio,23,Construcción,14,Jalisco,1490715.10561,Miles de pesos constantes,Cifras definitivas,Edificación,1518893.310682
01/07/2008,1,2008,7,julio,23,Construcción,14,Jalisco,1589928.11884,Miles de pesos constantes,Cifras definitivas,Edificación,1731058.679775
01/08/2008,1,2008,8,agosto,23,Construcción,14,Jalisco,1321247.237676,Miles de pesos constantes,Cifras definitivas,Edificación,1682603.215544
01/09/2008,1,2008,9,septiembre,23,Construcción,14,Jalisco,1204974.210332,Miles de pesos constantes,Cifras definitivas,Edificación,1904208.347204
01/10/2008,1,2008,10,octubre,23,Construcción,14,Jalisco,1292846.690457,Miles de pesos constantes,Cifras definitivas,Edificación,2156068.248827
01/11/2008,1,2008,11,noviembre,23,Construcción,14,Jalisco,1121557.621514,Miles de pesos constantes,Cifras definitivas,Edificación,1991548.996307
01/12/2008,1,2008,12,diciembre,23,Construcción,14,Jalisco,1442442.12483,Miles de pesos constantes,Cifras definitivas,Edificación,3064703.758937
01/01/2009,1,2009,1,enero,23,Construcción,14,Jalisco,935427.895863,Miles de pesos constantes,Cifras definitivas,Edificación,1758621.479409
01/02/2009,1,2009,2,febrero,23,Construcción,14,Jalisco,1033945.38166,Miles de pesos constantes,Cifras definitivas,Edificación,2015722.206549
01/03/2009,1,2009,3,marzo,23,Construcción,14,Jalisco,1035217.177399,Miles de pesos constantes,Cifras definitivas,Edificación,1512852.848377
01/04/2009,1,2009,4,abril,23,Construcción,14,Jalisco,1007192.404154,Miles de pesos constantes,Cifras definitivas,Edificación,1631431.470143
01/05/2009,1,2009,5,mayo,23,Construcción,14,Jalisco,928207.271959,Miles de pesos constantes,Cifras definitivas,Edificación,1564599.516422
01/06/2009,1,2009,6,junio,23,Construcción,14,Jalisco,674402.648395,Miles de pesos constantes,Cifras definitivas,Edificación,1490715.10561
01/07/2009,1,2009,7,julio,23,Construcción,14,Jalisco,1014218.28232,Miles de pesos constantes,Cifras definitivas,Edificación,1589928.11884
